openhands-app-  | [DEBUG] Incoming request path: /openhands/api/llm-proxy/openai/chat/completions
openhands-app-  | [DEBUG] Incoming request path: /openhands/api/llm-proxy/openai/chat/completions
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:407 - Received OpenAI chat completion request for model: o3
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:183 - Converting OpenAI/Kimi request for model: o3
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:218 - Using max_completion_tokens=100000 for O3 model
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:119 - Successfully read LLM API key from /.openhands/settings.json
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:255 - Prepared headers with trace ID: 1758616544262441
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:280 - Calling internal proxy: http://172.21.54.74:28000/vtuber/ai_access/chatgpt/v3/chat/completions
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:407 - Received OpenAI chat completion request for model: o3
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:183 - Converting OpenAI/Kimi request for model: o3
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:218 - Using max_completion_tokens=100000 for O3 model
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:119 - Successfully read LLM API key from /.openhands/settings.json
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:255 - Prepared headers with trace ID: 1758616544328139
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:280 - Calling internal proxy: http://172.21.54.74:28000/vtuber/ai_access/chatgpt/v3/chat/completions
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:292 - Received response with status: 200
openhands-app-  | 08:35:44 - openhands:INFO: llm_proxy.py:296 - Successfully received response from internal proxy
openhands-app-  | 08:35:44 - openhands:ERROR: llm_proxy.py:334 - Internal proxy returned error via status_msg: Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported.
openhands-app-  | 08:35:44 - openhands:ERROR: llm_proxy.py:352 - Unexpected error: 400: LLM service error: Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported.
openhands-app-  | INFO:     127.0.0.1:52716 - "POST /openhands/api/llm-proxy/openai/chat/completions HTTP/1.1" 500 Internal Server Error
openhands-app-  | [DEBUG] Incoming request path: /openhands/api/llm-proxy/openai/chat/completions
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:407 - Received OpenAI chat completion request for model: o3
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:183 - Converting OpenAI/Kimi request for model: o3
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:218 - Using max_completion_tokens=100000 for O3 model
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:119 - Successfully read LLM API key from /.openhands/settings.json
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:255 - Prepared headers with trace ID: 1758616545053846
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:280 - Calling internal proxy: http://172.21.54.74:28000/vtuber/ai_access/chatgpt/v3/chat/completions
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:292 - Received response with status: 200
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:296 - Successfully received response from internal proxy
openhands-app-  | 08:35:45 - openhands:ERROR: llm_proxy.py:334 - Internal proxy returned error via status_msg: Invalid 'tools[15].function.name': string too long. Expected a string with maximum length 64, but got a string with length 97 instead.
openhands-app-  | 08:35:45 - openhands:ERROR: llm_proxy.py:352 - Unexpected error: 400: LLM service error: Invalid 'tools[15].function.name': string too long. Expected a string with maximum length 64, but got a string with length 97 instead.
openhands-app-  | INFO:     127.0.0.1:52714 - "POST /openhands/api/llm-proxy/openai/chat/completions HTTP/1.1" 500 Internal Server Error
openhands-app-  | [DEBUG] Incoming request path: /openhands/api/llm-proxy/openai/chat/completions
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:407 - Received OpenAI chat completion request for model: o3
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:183 - Converting OpenAI/Kimi request for model: o3
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:218 - Using max_completion_tokens=100000 for O3 model
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:119 - Successfully read LLM API key from /.openhands/settings.json
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:255 - Prepared headers with trace ID: 1758616545766737
openhands-app-  | 08:35:45 - openhands:INFO: llm_proxy.py:280 - Calling internal proxy: http://172.21.54.74:28000/vtuber/ai_access/chatgpt/v3/chat/completions
openhands-app-  | 08:35:46 - openhands:INFO: llm_proxy.py:292 - Received response with status: 200
openhands-app-  | 08:35:46 - openhands:INFO: llm_proxy.py:296 - Successfully received response from internal proxy
openhands-app-  | 08:35:46 - openhands:ERROR: llm_proxy.py:334 - Internal proxy returned error via status_msg: Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported.
openhands-app-  | 08:35:46 - openhands:ERROR: llm_proxy.py:352 - Unexpected error: 400: LLM service error: Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported.
openhands-app-  | INFO:     127.0.0.1:52716 - "POST /openhands/api/llm-proxy/openai/chat/completions HTTP/1.1" 500 Internal Server Error
openhands-app-  | 08:35:46 - openhands:INFO: llm_proxy.py:292 - Received response with status: 200
openhands-app-  | 08:35:46 - openhands:INFO: llm_proxy.py:296 - Successfully received response from internal proxy
openhands-app-  | 08:35:46 - openhands:ERROR: llm_proxy.py:334 - Internal proxy returned error via status_msg: Invalid 'tools[15].function.name': string too long. Expected a string with maximum length 64, but got a string with length 97 instead.
openhands-app-  | 08:35:46 - openhands:ERROR: llm_proxy.py:352 - Unexpected error: 400: LLM service error: Invalid 'tools[15].function.name': string too long. Expected a string with maximum length 64, but got a string with length 97 instead.
openhands-app-  | INFO:     127.0.0.1:52714 - "POST /openhands/api/llm-proxy/openai/chat/completions HTTP/1.1" 500 Internal Server Error
