# 同事在2025-09-08之后提交的冲突文件 (共20个)
# 格式: 文件路径 | 您的修改时间 | 同事提交时间

frontend/src/components/insight-ai/chat/insight-ai-chat-input.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/shared/insight-ai-error-message.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/chat/insight-ai-conversation.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/api/insight-ai-service/insight-ai-service.api.ts | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/features/chat/event-content-helpers/get-action-content.ts | 2025-09-10T15:02:15 | 2025-09-10T01:42:01
frontend/src/services/insight-ai-terminal-service.ts | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/hooks/insight-ai/use-insight-ai-messages.ts | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/chat/insight-ai-message-filter.ts | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/code-panel/insight-ai-terminal.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/hooks/insight-ai/use-insight-ai-ws-client.ts | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/chat/insight-ai-collapsible-message.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/chat/insight-ai-unified-message.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/components/insight-ai/conversations/insight-ai-conversation-manager.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:42:01
frontend/src/routes/insight-ai-layout.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:37:43
frontend/src/components/insight-ai/task-list/insight-ai-task-list.tsx | 2025-09-08T21:13:23 | 2025-09-10T01:37:43
frontend/src/components/features/chat/event-content-helpers/get-observation-content.ts | 2025-09-10T15:02:15 | 2025-09-08T17:57:18
frontend/src/components/insight-ai/dashboard/insight-ai-dashboard.tsx | 2025-09-08T21:13:23 | 2025-09-08T17:57:18
frontend/src/i18n/declaration.ts | 2025-09-09T10:48:07.815566 | 2025-09-08T10:56:20
frontend/src/i18n/translation.json | 2025-09-10T15:02:15 | 2025-09-08T10:56:20
frontend/src/components/features/chat/chat-message.tsx | 2025-09-10T15:02:15 | 2025-09-08T10:56:20
